name,age,gender,weight_kg,training_weeks,km_per_week,training_load,training_type,experience_level,archetype,confidence,injury_prior,finish_min,has_gps,split_ratio,first_half_pace,last_half_pace,avg_hr,avg_cad,trained_hills,trains_intervals,target_min
Cristina,23,F,64.0,11,15,165,structured,1,The Grinders,4,0,112.88,1,0.9726,5.437,5.288,168,,1,0,108
Unai,23,M,73.0,14,15,210,easy_runs,0,The Believers,4,0,104.73,1,1.0004,4.932,4.935,171,154.7,1,1,102
Oierga,23,M,66.5,11,37,407,structured,0,The Grinders,4,1,95.72,1,0.9939,4.517,4.489,176,158.2,0,1,93
Oriol,23,M,64.0,8,25,200,mixed,2,The Experienced,3,0,81.62,1,0.9726,3.91,3.803,153,,1,1,80
Álvaro,24,M,78.0,8,25,200,structured,1,The Grinders,5,1,99.92,1,0.9518,4.838,4.605,172,156.5,1,0,98
Jose,22,M,79.0,11,15,165,easy_runs,0,The Grinders,4,0,108.95,1,1.0074,5.092,5.129,169,153.0,0,0,108
Maria,22,F,60.0,11,25,275,structured,1,The Experienced,3,0,104.37,1,0.9493,5.05,4.794,169,154.9,1,0,104
Carlos Sainz,23,M,72.0,8,15,120,easy_runs,0,The Believers,2,1,135.37,1,1.0076,6.354,6.402,157,143.3,0,0,130
Jon,23,M,79.0,18,52,936,mixed,1,The Experienced,5,0,104.37,1,1.0069,4.958,4.992,161,,1,1,98
Lucia,22,F,60.0,2,7,14,mixed,0,The Believers,1,0,119.05,1,1.0013,5.578,5.586,159,149.4,0,0,118
Pablo Arce,24,M,79.0,8,15,120,mixed,0,The Believers,4,0,101.68,1,0.9491,4.923,4.673,174,155.8,0,0,100
Pablo Bauri,26,M,80.0,8,25,200,mixed,1,The Experienced,4,0,79.87,1,0.9999,3.836,3.836,173,,1,1,78
Sofia,23,F,67.0,14,25,350,structured,0,The Grinders,3,0,114.03,1,1.2929,4.651,6.014,166,151.3,0,0,112
Eloi Colprim,23,M,73.0,11,15,165,structured,1,The Believers,3,1,98.57,1,1.0255,4.578,4.695,176,,0,1,100
Roger Sala,23,M,71.0,2,15,30,easy_runs,1,The Grinders,5,0,114.02,1,0.9891,5.398,5.339,165,,0,1,108
Marta Arana,23,F,63.0,11,25,275,structured,0,The Grinders,4,1,112.88,1,0.972,5.468,5.315,175,,1,1,110
Thibaut Heim,23,M,78.0,11,15,165,easy_runs,0,The Believers,3,0,113.75,1,0.9993,5.35,5.346,166,151.4,0,0,115
Théophile,22,M,82.0,11,25,275,mixed,0,The Believers,4,0,96.1,1,0.9957,4.528,4.509,178,158.2,0,1,95
Célien,23,M,79.0,2,52,104,mixed,1,The Experienced,5,0,78.43,1,0.9584,3.772,3.614,176,164.7,0,1,75
Yann,23,M,63.0,14,37,518,mixed,0,The Believers,4,0,121.7,1,0.9905,5.752,5.698,162,148.4,0,0,118
Coline,23,F,65.0,8,25,200,easy_runs,0,The Believers,4,0,123.92,1,1.0019,5.816,5.827,161,147.6,0,0,120
Alex Torres,26,M,75.0,10,20,200,easy_runs,1,The Believers,4,0,118.68,1,1.2343,4.99,6.159,172,149.5,0,0,115
Nina Larsson,29,F,62.0,4,8,32,easy_runs,0,The Believers,2,0,133.66,1,0.9986,6.31,6.301,161,143.8,0,0,128
Marcus Henriksen,28,M,72.0,16,55,880,structured,2,The Experienced,5,0,86.77,1,0.9821,4.135,4.061,173,161.6,0,1,88
Isabel Vidal,25,F,58.0,13,28,364,mixed,1,The Believers,3,1,115.42,1,0.9584,5.566,5.334,165,150.6,0,0,112
